Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix Table 24_unweighted. Relationship of victim to offender, 1980-2008--UNWEIGHTED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Husband,Wife,Common-law Husband,Common-law Wife,Mother,Father,Son,Daughter,Brother,Sister,In-law,Stepfather,Stepmother,Stepson,Stepdaughter,Other Family,Neighbor,Acquaintance,Boyfriend,Girlfriend,Ex-husband,Ex-wife,Employee,Employer,Friend,Homosexual Relation,Other Known,Stranger,Unknown Relationship
1980,612,883,158,125,120,163,267,204,235,50,223,62,8,53,20,338,306,5375,265,384,36,69,11,9,752,41,359,2909,7823
1981,604,841,144,110,113,182,261,189,257,35,222,59,12,42,21,302,310,5186,253,357,39,75,18,12,772,61,543,3103,5930
1982,504,811,146,113,131,147,322,202,217,41,207,65,9,35,32,335,314,4972,252,362,40,75,11,21,659,81,608,3301,5472
1983,524,802,150,117,138,150,315,197,235,48,190,56,9,38,18,351,257,4713,262,402,33,82,13,18,768,68,653,2797,5269
1984,393,769,118,82,123,144,225,190,230,54,159,64,7,39,26,319,216,4547,257,412,32,54,17,14,675,80,525,3017,4472
1985,430,828,98,87,123,136,274,230,196,38,171,54,11,47,17,284,230,4767,237,435,28,72,23,19,722,67,655,2548,4718
1986,444,792,69,110,112,141,326,203,195,39,158,60,10,30,14,321,271,4974,279,493,40,75,14,14,1003,59,762,2501,5748
1987,371,757,79,89,110,126,262,214,204,53,165,49,7,39,23,356,247,4654,260,414,23,58,7,24,954,69,662,2380,5307
1988,333,741,71,102,116,125,270,190,178,45,143,46,10,29,20,273,203,4620,238,443,13,69,14,16,763,62,790,2208,5840
1989,346,634,84,87,126,131,270,227,185,42,139,44,4,33,26,322,218,4820,269,474,20,44,16,13,900,45,689,2474,6270
1990,316,687,76,76,96,122,276,190,205,37,114,41,14,34,24,314,221,5023,259,443,17,73,17,19,852,46,679,2908,7092
1991,257,694,67,73,138,137,298,222,190,27,114,36,7,29,17,335,230,4663,262,485,18,49,11,15,768,48,936,3276,8274
1992,268,685,84,124,136,117,307,211,169,42,120,45,1,35,24,330,219,4465,240,503,16,56,11,21,852,30,1644,3074,8887
1993,255,706,57,103,134,131,287,218,175,36,82,42,4,40,30,332,205,4588,245,583,10,71,17,24,851,51,1573,3256,9074
1994,258,638,71,95,113,147,281,197,164,47,88,42,5,44,15,325,174,4501,225,518,12,66,7,13,733,62,1585,2891,8767
1995,197,615,55,71,127,116,259,225,124,26,81,31,4,27,25,327,177,4000,194,495,11,42,6,19,584,35,1341,3078,7940
1996,176,554,38,73,97,113,238,188,102,21,74,21,6,22,26,258,165,3717,169,436,6,51,8,12,489,30,1179,2385,6313
1997,149,499,29,55,77,115,266,197,128,23,76,32,9,30,15,252,154,3425,152,439,10,48,3,13,443,23,838,2083,6253
1998,137,543,39,59,98,99,233,179,89,30,76,27,5,28,17,223,120,3037,177,438,11,50,13,16,419,21,756,1850,5419
1999,126,477,23,43,93,107,225,204,77,27,55,37,4,17,21,247,93,2674,145,439,10,40,4,19,404,18,670,1540,5172
2000,133,515,25,48,101,90,191,155,95,24,49,30,7,29,25,245,111,2379,147,430,9,47,9,7,294,15,722,1737,5559
2001,116,511,16,53,99,80,240,196,75,29,80,26,7,26,30,241,92,2442,149,438,8,36,5,12,351,17,645,1844,6216
2002,101,510,24,43,115,80,205,191,90,22,52,27,7,30,17,256,112,2584,147,442,7,40,3,10,357,27,662,2010,6100
2003,102,461,13,49,99,107,240,163,86,28,61,28,3,34,24,263,112,2629,153,457,7,41,12,23,343,15,677,1792,6414
2004,123,480,13,54,110,93,202,200,85,29,65,26,7,24,18,247,115,2510,135,438,9,38,7,11,302,28,728,1825,6242
2005,113,512,12,44,120,86,219,177,98,24,68,36,4,20,18,252,90,2531,145,463,7,41,3,7,318,20,716,2077,6754
2006,98,482,18,51,115,87,235,165,83,23,61,29,2,32,22,253,128,2688,146,442,5,27,13,10,341,17,773,1905,6747
2007,111,477,11,36,92,79,213,205,92,27,58,24,4,27,29,239,111,2294,145,476,14,55,4,8,479,29,803,1931,6843
2008,99,482,9,36,123,95,227,192,102,23,62,23,3,26,25,289,109,2242,141,487,8,55,5,9,511,24,843,1754,6295
