State,Population
Alabama,4842481
Alaska,736307
Arizona,6733840
Arkansas,2967726
California,38625139
Colorado,5351218
Connecticut,3594783
Delaware,932596
District of Columbia,662513
Florida,19860330
Georgia,10069001
Hawaii,1414862
Idaho,1631479
Illinois,12888962
Indiana,6593533
Iowa,3109504
Kansas,2900896
Kentucky,4414483
Louisiana,4644204
Maine,1330760
Maryland,5958165
Massachusetts,6763652
Michigan,9930589
Minnesota,5451522
Mississippi,2990623
Missouri,6056293
Montana,1021891
Nebraska,1879522
Nevada,2819012
New Hampshire,1333223
New Jersey,8866780
New Mexico,2090342
New York,19656330
North Carolina,9933944
North Dakota,737382
Ohio,11602973
Oklahoma,3878367
Oregon,3964106
Pennsylvania,12789101
Rhode Island,1056017
South Carolina,4823793
South Dakota,849088
Tennessee,6540826
Texas,26977142
Utah,2937399
Vermont,625218
Virginia,8312076
Washington,7052439
West Virginia,1849467
Wisconsin,5751974
Wyoming,582548
